 61 PM151         0.0000000000E+00
 61 PM152         0.0000000000E+00
 61 PM153         0.0000000000E+00
 61 PM154         0.0000000000E+00
 62 SM140         0.0000000000E+00
 62 SM141         0.0000000000E+00
 62 SM142         0.0000000000E+00
 62 SM143         0.0000000000E+00
 62 SM144         2.9312000000E-12
 62 SM145         0.0000000000E+00
 62 SM146         0.0000000000E+00
 62 SM147         1.0669300000E-09
 62 SM148         2.2190200000E-09
 62 SM149         4.1170200000E-10
 62 SM150         1.9242900000E-09
 62 SM151         2.8497200000E-12
 62 SM152         1.6259000000E-09
 62 SM153         2.4444300000E-16
 62 SM154         6.3017400000E-10
 62 SM155         0.0000000000E+00
 62 SM156         0.0000000000E+00
 62 SM157         0.0000000000E+00
 62 SM158         0.0000000000E+00
 63 EU143         0.0000000000E+00
 63 EU144         0.0000000000E+00
 63 EU145         0.0000000000E+00
 63 EU146         0.0000000000E+00
 63 EU147         0.0000000000E+00
 63 EU148         0.0000000000E+00
 63 EU149         0.0000000000E+00
 63 EU150         0.0000000000E+00
 63 EU151         2.4730700000E-10
 63 EU152         2.6185900000E-13
 63 EU153         3.1834000000E-10
 63 EU154         0.0000000000E+00
 63 EU155         0.0000000000E+00
 63 EU156         0.0000000000E+00
 63 EU157         0.0000000000E+00
 63 EU158         0.0000000000E+00
 63 EU159         0.0000000000E+00
 64 GD144         0.0000000000E+00
 64 GD145         0.0000000000E+00
 64 GD146         0.0000000000E+00
 64 GD147         0.0000000000E+00
 64 GD148         0.0000000000E+00
 64 GD149         0.0000000000E+00
 64 GD150         0.0000000000E+00
 64 GD151         0.0000000000E+00
 64 GD152         9.1769500000E-11
 64 GD153         5.3831100000E-15
 64 GD154         7.1247500000E-10
 64 GD155         3.6995500000E-10
 64 GD156         1.4439700000E-09
 64 GD157         6.4758100000E-10
 64 GD158         2.5176500000E-09
 64 GD159         1.1166500000E-16
 64 GD160         4.6723100000E-10
 64 GD161         0.0000000000E+00
 64 GD162         0.0000000000E+00
 65 TB147         0.0000000000E+00
 65 TB148         0.0000000000E+00
 65 TB149         0.0000000000E+00
 65 TB150         0.0000000000E+00
 65 TB151         0.0000000000E+00
 65 TB152         0.0000000000E+00
 65 TB153         0.0000000000E+00
 65 TB154         0.0000000000E+00
 65 TB155         0.0000000000E+00
 65 TB156         0.0000000000E+00
 65 TB157         0.0000000000E+00
 65 TB158         0.0000000000E+00
 65 TB159         5.3830800000E-10
 65 TB160         0.0000000000E+00
 65 TB161         0.0000000000E+00
 65 TB162         0.0000000000E+00
 65 TB163         0.0000000000E+00
 65 TB164         0.0000000000E+00
 65 TB165         0.0000000000E+00
 66 DY148         0.0000000000E+00
 66 DY149         0.0000000000E+00
 66 DY150         0.0000000000E+00
 66 DY151         0.0000000000E+00
 66 DY152         0.0000000000E+00
 66 DY153         0.0000000000E+00
 66 DY154         0.0000000000E+00
 66 DY155         0.0000000000E+00
 66 DY156         5.4425000000E-15
 66 DY157         5.6047900000E-22
 66 DY158         1.9636300000E-13
 66 DY159         6.2391200000E-18
 66 DY160         8.6106600000E-10
 66 DY161         4.4073000000E-10
 66 DY162         1.8474000000E-09
 66 DY163         7.7394100000E-10
 66 DY164         3.6058300000E-09
 66 DY165         0.0000000000E+00
 66 DY166         0.0000000000E+00
 66 DY167         0.0000000000E+00
 66 DY168         0.0000000000E+00
 67 HO153         0.0000000000E+00
 67 HO154         0.0000000000E+00
 67 HO155         0.0000000000E+00
 67 HO156         0.0000000000E+00
 67 HO157         0.0000000000E+00
 67 HO158         0.0000000000E+00
 67 HO159         0.0000000000E+00
 67 HO160         0.0000000000E+00
 67 HO161         0.0000000000E+00
 67 HO162         0.0000000000E+00
 67 HO163         0.0000000000E+00
 67 HO164         0.0000000000E+00
 67 HO165         6.6376000000E-10
 67 HO166         0.0000000000E+00
 67 HO167         0.0000000000E+00
 67 HO168         0.0000000000E+00
 67 HO169         0.0000000000E+00
 68 ER154         0.0000000000E+00
 68 ER155         0.0000000000E+00
 68 ER156         0.0000000000E+00
 68 ER157         0.0000000000E+00
 68 ER158         0.0000000000E+00
 68 ER159         0.0000000000E+00
